u,x,lnF
2.2870387742,-0.0879612258,-32.4046660345
2.2880393996,-0.0869606004,-32.3738842513
2.2890400250,-0.0859599750,-32.3479126619
2.2900406504,-0.0849593496,-32.3264178363
2.2910412758,-0.0839587242,-32.3091179187
2.2920419012,-0.0829580988,-32.2957734448
2.2930425266,-0.0819574734,-32.2861802341
2.2940431520,-0.0809568480,-32.2801638304
2.2950437774,-0.0799562226,-32.2775751121
2.2960444028,-0.0789555972,-32.2782868017
2.2970450281,-0.0779549719,-32.2821906759
2.2980456535,-0.0769543465,-32.2891953290
2.2990462789,-0.0759537211,-32.2992243804
2.3000469043,-0.0749530957,-32.3122150431
2.3010475297,-0.0739524703,-32.3281169926
2.3020481551,-0.0729518449,-32.3468914887
2.3030487805,-0.0719512195,-32.3685107162
2.3040494059,-0.0709505941,-32.3929573190
2.3050500313,-0.0699499687,-32.4202241119
2.3060506567,-0.0689493433,-32.4503139581
2.3070512821,-0.0679487179,-32.4832398097
2.3080519074,-0.0669480926,-32.5190249120
2.3090525328,-0.0659474672,-32.5577031795
2.3100531582,-0.0649468418,-32.5993197579
2.3110537836,-0.0639462164,-32.6439317936
2.3120544090,-0.0629455910,-32.6916094406
2.3130550344,-0.0619449656,-32.7424371464
2.3140556598,-0.0609443402,-32.7965152718
2.3150562852,-0.0599437148,-32.8539621194
2.3160569106,-0.0589430894,-32.9149164663
2.3170575360,-0.0579424640,-32.9795407340
2.3180581614,-0.0569418386,-33.0480249715
2.3190587867,-0.0559412133,-33.1205918907
2.3200594121,-0.0549405879,-33.1975032879
2.3210600375,-0.0539399625,-33.2790683127
2.3220606629,-0.0529393371,-33.3656542458
2.3230612883,-0.0519387117,-33.4577007395
2.3240619137,-0.0509380863,-33.5557389339
2.3250625391,-0.0499374609,-33.6604175869
2.3260631645,-0.0489368355,-33.7725395395
2.3270637899,-0.0479362101,-33.8931138424
2.3280644153,-0.0469355847,-34.0234323728
2.3290650407,-0.0459349593,-34.1651862022
2.3300656660,-0.0449343340,-34.3206493727
2.3310662914,-0.0439337086,-34.4929831893
2.3320669168,-0.0429330832,-34.6867704511
2.3330675422,-0.0419324578,-34.9090260084
2.3340681676,-0.0409318324,-35.1713064795
2.3350687930,-0.0399312070,-35.4947644118
2.3360694184,-0.0389305816,-35.9250689137
2.3370700438,-0.0379299562,-36.5962879490
2.3380706692,-0.0369293308,-38.5837377491
2.3390712946,-0.0359287054,-37.0512288214
2.3400719199,-0.0349280801,-36.3207819022
2.3410725453,-0.0339274547,-35.9470767736
2.3420731707,-0.0329268293,-35.7091278793
2.3430737961,-0.0319262039,-35.5443203085
2.3440744215,-0.0309255785,-35.4259975540
2.3450750469,-0.0299249531,-35.3403594581
2.3460756723,-0.0289243277,-35.2793778239
2.3470762977,-0.0279237023,-35.2380146184
2.3480769231,-0.0269230769,-35.2129461037
2.3490775485,-0.0259224515,-35.2019117186
2.3500781739,-0.0249218261,-35.2033556616
2.3510787992,-0.0239212008,-35.2162192205
2.3520794246,-0.0229205754,-35.2398173166
2.3530800500,-0.0219199500,-35.2737660623
2.3540806754,-0.0209193246,-35.3179443436
2.3550813008,-0.0199186992,-35.3724812338
2.3560819262,-0.0189180738,-35.4377666806
2.3570825516,-0.0179174484,-35.5144876102
2.3580831770,-0.0169168230,-35.6036970737
2.3590838024,-0.0159161976,-35.7069324608
2.3600844278,-0.0149155722,-35.8264141164
2.3610850532,-0.0139149468,-35.9653869011
2.3620856785,-0.0129143215,-36.1287372696
